crunchbase_uuid,name,type,primary_role,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description
ad5c1fb6-2d59-48b9-0880-e3317756dc1a,Q8eGifts.com,organization,company,https://www.crunchbase.com/organization/q8egifts-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,q8egifts.com,http://www.Q8eGifts.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397209509/d5785dfa408c6c51508c018792030236.jpg",http://www.facebook.com/pages/Q8eGiftscom/45061437633,http://twitter.com/Q8eGifts,,:,Kuwait,Al Kuwayt,KW,Kuwait's Leading Online Gifts Store
2f0a2474-bd62-744e-9868-74ced3e3f1a7,Conservus International,organization,company,https://www.crunchbase.com/organization/conservus-international?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,conservus.ae,http://www.conservus.ae,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397182524/b641c3382704734a210538e8ac74bcd9.png",,,,:,Dubai,Dubai,AE,IT/Media Marketing
8d302824-3ea2-a8d4-c14f-e723bcb7196d,Pulse Technologies,organization,company,https://www.crunchbase.com/organization/pulse-technologies?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,pulseliving.com,http://www.pulseliving.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397182536/db2f4287646a4475ae61a85b933b3171.png",,,,:,Dubai,Dubai,AE,automation systems
b8768c42-33f9-a0c7-35a4-11c3b9104d08,Streetkings.com,organization,company,https://www.crunchbase.com/organization/street-kings-arabia?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,streetkings.com,http://www.streetkings.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397183081/6f0c8b7c183caaf157c46dc8960ab8bd.jpg",,http://twitter.com/streetkingsteam,,:,Riyadh,Ar Riyad,SA,Unite all the luxury automobile owners
67fd983c-50bc-18b5-1040-c5b3cae816c2,Sakhr Software,organization,company,https://www.crunchbase.com/organization/sakhr-software?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,sakhr.com,http://www.sakhr.com/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1471258216/iwqdfkzmzljzbmbd0v7e.png",https://www.facebook.com/sakhrsoftwares,http://twitter.com/sakhrsoftware,http://www.linkedin.com/company/sakhr-software,:,Salmiya,Al Kuwayt,KW,Sakhr Software Company is a pioneer and market leader in advanced Arabic language technology and solutions.
64122399-5a8a-b208-430a-f37c1e987058,Content Syndicate: Words on Demand,organization,company,https://www.crunchbase.com/organization/content-syndicate-words-on-demand?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,contentsyndicate.com,http://www.contentsyndicate.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397183380/81805d98106048c8e74e762f0a9bd46a.jpg",,http://twitter.com/contentsyndic8,,:,Dubai,Dubai,AE,"Content Syndicate develops a cloud-based platform enabling businesses to distribute, buy, and sell content in more than 200 languages."
6cf87a04-4802-5c10-dfb8-594277671922,Al Rajhi Holdings,organization,company,https://www.crunchbase.com/organization/al-rajhi-holdings?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,alrajhiholding.com,http://www.alrajhiholding.com,"https://crunchbase-production-res.cloudinary.com/image/upload/h_120,w_120,f_jpg/v1507847753/placeholder_zgpxrr.png",,,,:,,,SA,"The Suliman Abdul Aziz Al Rajhi Group of Companies is diverse in nature and is involved in the business of poultry, agriculture, real"
cf7bfd24-77d8-25c1-cbcc-51572443ddd7,Emirates,organization,company,https://www.crunchbase.com/organization/emirates?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,emirates.com,http://www.emirates.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1422014324/kwkv4fcgeqjct7sxuo8v.png",https://www.facebook.com/Emirates,https://twitter.com/emirates,https://www.linkedin.com/company/emirates,:,Dubai,Dubai,AE,Emirates is one of two flag carriers of the United Arab Emirates along with Etihad Airways and is based in Dubai.
8b3e8370-a8f7-81c8-5a87-01923a27937a,Emirates Biodiesel,organization,company,https://www.crunchbase.com/organization/emirates-biodiesel?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,embio.ae,http://www.embio.ae,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397185804/69d268b6e66ce297a37c777aea20251e.jpg",,,,:,,,AE,Biodiesel
66e3c243-8ece-cdf7-4aee-f7164d657248,Injazat,organization,company,https://www.crunchbase.com/organization/injazat?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,injazat.com,http://www.injazat.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397186051/814c401c2ff679cf5b951d2d7554fdf7.jpg",,https://www.twitter.com/injazatuae,https://www.linkedin.com/company/injazat-data-systems,:,Abu Dhabi,Abu Dhabi,AE,"Injazat Data Systems is an industry recognized market leader in the region for Information Technology, Data Center and Managed Services"
e765bcc7-981b-7e1a-9deb-f51981cb9ecc,SMS Global,organization,company,https://www.crunchbase.com/organization/sms-global?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,smsglobal.com,https://www.smsglobal.com/,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/inrgaubzeku0atnm8zs1",https://www.facebook.com/SMSGlobalHQ/,https://twitter.com/SMSGlobalHQ,https://www.linkedin.com/company/smsglobal-pty-ltd,:,Dubai,Dubai,AE,SMS Global is an Advertising company.
32f21de5-8da0-8120-633c-165e87d03203,Tejari FZ LLC,organization,company,https://www.crunchbase.com/organization/tejari?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,tejari.com,http://www.tejari.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397190465/2938d07f77546b70811ab8162cec026f.jpg",,http://twitter.com/Tejari_Dubai,https://www.linkedin.com/company/33603,:,Dubai,Dubai,AE,"Tejari,Strategic Procurement Technology, gives by optimizing the procurement process and better managing knowledge and information."
8c9912f4-ad90-b622-9f2d-1881596b01e1,Industries Qatar,organization,company,https://www.crunchbase.com/organization/industries-qatar?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,industriesqatar.com.qa,http://www.industriesqatar.com.qa,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397190508/0c32ab240eba46c0e84478f9657e238c.jpg",,,,:,Doha,Ad Dawhah,QA,IQ aims to be a leading and recognized player in producing and marketing the highest quality industrial products.
953f551e-4ee5-1c2d-ce74-258f2f34566f,Nakilat,organization,company,https://www.crunchbase.com/organization/nakilat?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,nakilat.com.qa,http://www.nakilat.com.qa,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1491727495/vt6fb28pt1wz6smp9qhq.png",,,https://www.linkedin.com/company-beta/583253/,:,Doha,Ad Dawhah,QA,Nakilat is a gas transport shipping company operate and manage LNG vessels and to provide shipping and marine-related services.
317a9e45-9a5e-00b0-0ddd-686e42296fab,Sahara Net,organization,company,https://www.crunchbase.com/organization/sahara-network?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,sahara.com,http://www.sahara.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1474632010/g7vcvejjvcf7kg4l2b6x.png",,,https://www.linkedin.com/company/362805,:,Dammam,Ash Sharqiyah,SA,"Sahara Net is an Information and Communications Technology company providing connectivity, cloud & cyber security solutions."
7c77b4b0-4a23-036f-5291-1947044c49a6,Flip Media,organization,company,https://www.crunchbase.com/organization/flip-media?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,flipcorp.com,http://www.flipcorp.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397194952/c6d5c4dd6234dc46615a75c43e3bebf1.png",http://www.facebook.com/flipholdings,http://twitter.com/flipmedia,,:,Dubai,Dubai,AE,Flip Media is an online company that develops digital experiences that are rewarding and fun.
9dcbe645-1f9e-35c4-7d35-03642e9eae82,NeuString,organization,company,https://www.crunchbase.com/organization/neustring?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,neustring.com,http://www.neustring.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397195213/26b49c5f4400c2fa7466590f1254103a.jpg",,,https://www.linkedin.com/company/neustring,:,Dubai,Dubai,AE,NeuString is a software and consulting company that offers predictive analytics solutions for the mobile telecommunications industry.
2f2e2377-74d0-a790-8976-3fc3bbcef349,International Company for Mobile Services,organization,company,https://www.crunchbase.com/organization/international-company-of-mobile-services?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,icms-vas.com,http://www.icms-vas.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397195263/f5c7d52d602dfd13a9761b07537498ba.gif",,,,:,Riyadh,Ar Riyad,SA,Mobile Solutions - VAS
fec889ef-008c-dfb8-9970-35e7e2056fa9,Better Homes,organization,company,https://www.crunchbase.com/organization/better-homes?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bhomes.com,http://www.bhomes.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397179636/af7935ba3ef751cdb399b45aa1b803ee.gif",http://www.facebook.com/betterhomespage,http://twitter.com/betterhomesUAE,http://www.linkedin.com/company/better-homes-llc,:,Dubai,Dubai,AE,Dubai Property and Dubai real estate
7012481f-b95b-ab42-5794-834ee367a86a,Abu Dhabi Media Company,organization,company,https://www.crunchbase.com/organization/abu-dhabi-media-company?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,admedia.ae,http://admedia.ae/en/index.php,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397198051/d18befebe137e6230be022511221d905.png",http://www.facebook.com/ZahratAlKhaleej,http://twitter.com/AbuDhabiMedia,,:,Abu Dhabi,Abu Dhabi,AE,"Abu Dhabi Media is a media company operating across the broadcast, publishing, and digital media sectors."
1928d75d-d07c-d6ad-d7bc-829c0e0d8891,AMAEYA,organization,company,https://www.crunchbase.com/organization/cognito?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,amaeya.com,http://www.amaeya.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397199340/2398211ef6b2f7e6fda0792551ab6090.png",http://www.facebook.com/amaeyait,http://twitter.com/amaeyait,,:,Dubai,Dubai,AE,"AMAEYA is a provider of infrastructure, security and disaster recovery solutions and services that help our customers protect their"
f4b421d6-43a5-c9b7-2d0f-9dae95716183,Ubrik Media,organization,company,https://www.crunchbase.com/organization/ubrik-media?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,ubrik.com,http://www.ubrik.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397199976/6ba13517367f08e0c0cd1d080d40089c.png",https://www.facebook.com/ubrik,http://twitter.com/ubrikmedia,https://www.linkedin.com/company/ubrik-media,:,Dubai,Dubai,AE,Ubrik Media provides digital marketing in the United Arab Emirates.
66633e9e-0382-38ac-b66f-6f99a084ed04,Abraaj Group,organization,investor,https://www.crunchbase.com/organization/abraaj-capital?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,abraaj.com,http://www.abraaj.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397179855/e5d53f33713012366dbba1818dcfb75b.jpg",,http://twitter.com/abraajgroup,http://www.linkedin.com/company/the-abraaj-group,:,Dubai,Dubai,AE,"Abraaj Group is the premier investment firm specializing in private equity investments in the Middle East, North Africa and South Asia"
86f77c85-3ada-20d4-b2c0-f8de81af99a2,Beeyoot.com,organization,company,https://www.crunchbase.com/organization/beeyoot-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,beeyoot.com,http://www.beeyoot.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397203281/b7ad50b8a5cfdfbc8801bf666860f796.gif",,http://twitter.com/beeyoot,,:,Dubai,Dubai,AE,Beeyoot.com is a real estate portal and publisher of a local real estate blog in UAE.
e9ca69dc-b0f9-172e-8ca8-5f9afc173e65,INDORSE TECHNOLOGIES,organization,company,https://www.crunchbase.com/organization/indorse-technologies?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,indorse.com.sa,http://www.indorse.com.sa,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397203536/1ea3c4729d92b8acfddc449d8a5bced5.png",http://www.indorse.com.sa,http://www.indorse.com.sa,http://www.indorse.com.sa,:,Jeddah,Makkah,SA,Indorse Technologies is a software vendor that provides solutions to facilitate e-transactions for businesses.
e5d1d1c9-371d-dac2-5603-f00aa4084b28,Noor Financial Investment,organization,investor,https://www.crunchbase.com/organization/noor-financial-investment?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,noorinvestment.com,http://www.noorinvestment.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397179963/01ddc306eefe103c7100843733047dba.jpg",,,,kse:NOOR,Safat,Al Kuwayt,KW,"Noor is engaged in investment activities and financial services primarily in Kuwait, the Middle East, Asia, and other emerging markets."
c615bcf8-d0cb-4c92-5da9-13b0c723cc5e,GoNabit,organization,company,https://www.crunchbase.com/organization/gonabit?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,gonabit.com,http://www.GoNabit.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397204850/1d534f04963a9d47e5c5f464ec7f5960.png",https://www.facebook.com/livingsocial,http://twitter.com/GoNabit,,:,Dubai,Dubai,AE,"GoNabit is an internet retailer with a deal-a-day format, offering items at big discounts."
e3c4f300-5e88-df43-d59d-3e7df4c74a00,mysalbum,organization,company,https://www.crunchbase.com/organization/mysalbum?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mysalbum.com,http://www.mysalbum.com,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397205557/7e5750f878ee02d78f0c7d84bae16d0f.jpg",http://www.facebook.com/pages/mysalbum/281806679139,http://twitter.com/mysalbum,,:,Riyadh,Ar Riyad,SA,Mysalbum allows users to display several images as an album in a single URL.
6c9f9de6-a09c-b5ca-a328-8d1124fbf675,iSama,organization,company,https://www.crunchbase.com/organization/isama?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,isama.com.sa,http://www.isama.com.sa,"https://crunchbase-production-res.cloudinary.com/image/upload/c_lpad,h_120,w_120,f_jpg/v1397205562/00e7f6668020e4f7242974ae9c9c805a.jpg",https://www.facebook.com/www.isama.com.sa,http://twitter.com/ISAMA_SA,https://www.linkedin.com/company/isama,:,Riyadh,Ar Riyad,SA,"Desire to contribute to the development and prosperity, to the Internet all over the world which led us to challenge and progress."
